metric,mean,std,min,max
train_roc_auc,0.9459551386349231,0.010234661795470305,0.9391175354617152,0.963912451430914
train_pr_auc,0.9382077907977454,0.011816195110223486,0.9295331231821704,0.958826410346485
train_accuracy,0.8831137140068327,0.014457113951780001,0.8723767691556857,0.9080039043435822
train_f1,0.8848314014528246,0.014776481364401116,0.8752724630661177,0.9105999525729191
train_recall,0.8986822840409957,0.022093311285433608,0.8818936066373841,0.9370424597364568
train_precision,0.8715461758574087,0.011573359287925753,0.8552141527001862,0.8856088560885609
val_roc_auc,0.893650846332559,0.004428913132777096,0.889761035512778,0.9010952538997676
val_pr_auc,0.9002603128748345,0.00720726259275308,0.8910897838113846,0.9108955730784984
val_accuracy,0.8138211382113821,0.0061983539357629795,0.806910569105691,0.8211382113821138
val_f1,0.8248924702137954,0.006763771145381839,0.8183556405353728,0.8320610687022901
val_recall,0.8236641221374045,0.012189862154710913,0.8091603053435115,0.8396946564885496
val_precision,0.8262005109452121,0.004553827694912724,0.8199233716475096,0.8320610687022901
test_roc_auc,0.9187537427639896,0.004345196140129813,0.9116707698449664,0.9222004125357642
test_pr_auc,0.9239785059368522,0.0040453347207719936,0.9174823721466178,0.9283229075074316
test_accuracy,0.8451219512195122,0.014400804539770993,0.8211382113821138,0.8577235772357723
test_f1,0.8607185658980109,0.010500964392264823,0.8445229681978799,0.8713235294117647
test_recall,0.8842105263157896,0.012859121335704564,0.8646616541353384,0.8984962406015038
test_precision,0.8389529761520673,0.024028141999081105,0.7966666666666666,0.8540145985401459
train_mcc,0.7667481328470865,0.02931641445984502,0.7456243620294194,0.8173874769290823
val_mcc,0.6262150077413341,0.012185206937742287,0.6122885952045164,0.6407567208762032
test_mcc,0.6883708941662905,0.027920383560890126,0.64216647215703,0.7132730336991848
